project,related_file,category,evidence_type,reason
WhatsApp Human Engine,AIOS/PersonalityEngine/SOHAIB_GROUP_REGRESSION_RESULT.json,property_intelligence,json,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/AIOS_BUGFIX_WAR_ROOM_REPORT.md,property_intelligence,md,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/WHATSAPP_PRODUCTION_HARDENING_VALIDATION.py,whatsapp_human_engine,py,"whatsapp, personality"
WhatsApp Human Engine,AIOS/PersonalityEngine/KNOWLEDGE_FIRST_REGRESSION.py,property_intelligence,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/NO_ANSWER_WITHOUT_RETRIEVAL_REGRESSION.py,property_intelligence,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/ARABIC_IDENTITY_SOCIAL_REGRESSION_RESULT.json,general_aios,json,personality
AIOS Foundation,AIOS/PersonalityEngine/OMAR_REPLY_POLICY.md,whatsapp_human_engine,md,policy
WhatsApp Human Engine,AIOS/PersonalityEngine/OMAR_REPLY_POLICY.md,whatsapp_human_engine,md,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/LEAD_DIGITAL_CONCIERGE_REGRESSION.py,whatsapp_human_engine,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/SOHAIB_GROUP_REGRESSION.py,whatsapp_human_engine,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/HUMAN_JUDGMENT_EDGE_CASE_LIBRARY.md,whatsapp_human_engine,md,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/WHATSAPP_EDGE_CASE_REGRESSION.py,whatsapp_human_engine,py,"whatsapp, personality"
WhatsApp Human Engine,AIOS/PersonalityEngine/ARABIC_IDENTITY_SOCIAL_REGRESSION.py,whatsapp_human_engine,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/RELATIONSHIP_BEHAVIOR_ENGINE.json,property_intelligence,json,"personality, relationship"
WhatsApp Human Engine,AIOS/PersonalityEngine/omar_personality_engine.py,whatsapp_human_engine,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/CONVERSATION_OBJECTIVE_REGRESSION.py,whatsapp_human_engine,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/WHATSAPP_EDGE_CASE_LIBRARY.jsonl,property_intelligence,jsonl,"whatsapp, personality"
WhatsApp Human Engine,AIOS/PersonalityEngine/LIVE_PERSONALITY_VALIDATION_V1.md,whatsapp_human_engine,md,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/omar_personality_validation_50.json,whatsapp_human_engine,json,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/MARKUS_CONVERSATION_REGRESSION_RESULT.json,property_intelligence,json,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/OMAR_PERSONALITY_PROFILE_V1.json,whatsapp_human_engine,json,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/WHATSAPP_EDGE_CASE_LIBRARY.md,whatsapp_human_engine,md,"whatsapp, personality"
WhatsApp Human Engine,AIOS/PersonalityEngine/CONVERSATION_OBJECTIVE_REGRESSION_RESULT.json,property_intelligence,json,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/AIOS_BUGFIX_VALIDATION_RESULT.json,validation_reporting,json,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/OMAR_PERSONALITY_PROFILE_V1.md,whatsapp_human_engine,md,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/OLD_CHAT_CONTEXT_REGRESSION_RESULT.json,nakheel_design_approval,json,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/SPECIAL_CONTACT_PROFILES_REGRESSION.py,whatsapp_human_engine,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/WHATSAPP_WAR_ROOM_REGRESSION.py,property_intelligence,py,"whatsapp, personality"
WhatsApp Human Engine,AIOS/PersonalityEngine/WHATSAPP_PRODUCTION_HARDENING_VALIDATION_RESULT.json,whatsapp_human_engine,json,"whatsapp, personality"
Property Intelligence,AIOS/KnowledgeBase/property_recommendation_agent.py,property_intelligence,py,property
Property Intelligence,AIOS/KnowledgeBase/build_property_master_db.py,property_intelligence,py,property
Property Intelligence,AIOS/KnowledgeBase/Property_Master_Database.sqlite,property_intelligence,sqlite,property
AIOS Knowledge Control,AIOS/KnowledgeBase/aios_memory_layer_v1.py,whatsapp_human_engine,py,memory
Property Intelligence,AIOS/KnowledgeBase/Canonical/AIOS_CANONICAL_FILE_INVENTORY.csv,nakheel_design_approval,csv,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/txt/e8fa1ac44997__PROPERTY-RECOMMENDATION-AGENT.txt,property_intelligence,txt,property
WhatsApp Human Engine,AIOS/KnowledgeBase/raw_data/txt/b0b413f106cb__DLD__API_Gateway_Trakheesi_platform.txt,validation_reporting,txt,gateway
WhatsApp Human Engine,AIOS/KnowledgeBase/raw_data/txt/faa82c337329__omar_real_estate_whatsapp_agent.txt,whatsapp_human_engine,txt,whatsapp
Property Intelligence,AIOS/KnowledgeBase/raw_data/txt/50d88435f856__DLD__Sale_of_Mortgaged_Property.txt,property_intelligence,txt,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/txt/ecc52df1d6fd__DLD__Property_Sale_Registration.txt,property_intelligence,txt,property
AIOS Knowledge Control,AIOS/KnowledgeBase/raw_data/txt/9645b5021d6c__OPENAI_MEMORY_ARCHIVE_MANIFEST.txt,knowledge_base,txt,memory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/b17701f8c69a__Reportage_Inventory__99c58ae4-60ae-474d-a525-c21e51b57e4c__b17701f8c6.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/0eb45bb535c0__Reportage_Inventory__Verdana 1 Residence PROJECT__0eb45bb535.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/da8d6a1fa6bf__Reportage_Inventory__INDABYO HEIGHTS - KIGALI_ RWANDA__da8d6a1fa6.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/68cb7f0e5ed6__Reportage_Inventory__REPORTAGE HEIGHTS 1 - B__68cb7f0e5e.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/4dd7ad70cbf4__Data_Uae_Pak_Last__Property_s Type__4dd7ad70cb.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/b508ce282b3d__Reportage_Inventory__Verdana 1 Residence PROJECT__b508ce282b.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/31e75d181091__Data_Uae_Pak_Last__Property_s Type__31e75d1810.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/902f581911e6__Reportage_Inventory__DUBAI HILLS AVAILABILITY__902f581911.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/00f31cc5798c__TIGER_-_HOME_SWEET_HOME_REAL_ESTATE__Unit Number__00f31cc579.xlsx,property_intelligence,xlsx,unit
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/adbcfb9540b2__Reportage_Inventory__LA DIMORA Availability__adbcfb9540.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/8b17644d1089__Reportage_Inventory__DIVA _HANDING OVER Q4 2024___8b17644d10.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/071a5a681187__Reportage_Inventory__DIVA _HANDING OVER Q4 2024___071a5a6811.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/a8a313dc3d11__Reportage_Inventory__ARABIAN RANCHES SEA BREEZE PROJECT__a8a313dc3d.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/8d17e46937fd__Reportage_Inventory__R_SIDENCE C_ME__8d17e46937.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/042e594ad20e__Reportage_Inventory__DUBAI HILLS AVAILABILITY__042e594ad2.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/d160d26d64ec__Reportage_Inventory__DUBAI HILLS AVAILABILITY__d160d26d64.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/bdbaebce5d19__Reportage_Inventory__Unit No.__bdbaebce5d.xlsx,property_intelligence,xlsx,"unit, inventory"
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/8353437857f3__Reportage_Inventory__R SIDENCE C ME__8353437857.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/817674fb352c__Reportage_Inventory__INDABYO HEIGHTS - KIGALI_ RWANDA__817674fb35.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/ad5778ac3c5e__TIGER_-_HOME_SWEET_HOME_REAL_ESTATE__Unit Number__ad5778ac3c.xlsx,property_intelligence,xlsx,unit
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/6ea2d12d01e3__Reportage_Inventory__3014__6ea2d12d01.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/4748b80daa29__Reportage_Inventory__Sylvana Availability__4748b80daa.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/ac9a52ed89d8__Reportage_Inventory__3014__ac9a52ed89.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/d5250e55cf97__Data_Uae_Pak_Last__Property_s Type__d5250e55cf.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/8c774e2e12e0__Data_Uae_Pak_Last__Property_s Type__8c774e2e12.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/cfc92026de3b__Reportage_Inventory__Sylvana Availability__cfc92026de.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/97471e39a0b0__Reportage_Inventory__ARABIAN RANCHES SEA BREEZE PROJECT__97471e39a0.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/e3d53f8a25f9__Reportage_Inventory__Verdana 1 Residence PROJECT__e3d53f8a25.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/e79072411f15__Reportage_Inventory__MANAGEMENT UNITS__e79072411f.xlsx,property_intelligence,xlsx,"unit, inventory"
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/37f8fc95f225__Reportage_Inventory__7eee9911-429d-48e7-9b42-c458809a6a07__37f8fc95f2.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/bebbdff7beaa__Reportage_Inventory__INDABYO HEIGHTS - KIGALI_ RWANDA__bebbdff7be.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/17b2459ef2e1__Reportage_Inventory__Verdana 1 Residence PROJECT__17b2459ef2.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/6d3d8840a8ec__TIGER_-_HOME_SWEET_HOME_REAL_ESTATE__Unit Number__6d3d8840a8.xlsx,property_intelligence,xlsx,unit
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/a9c355cb3f77__Reportage_Inventory__BRABUS VILLA AVAILABILITY__a9c355cb3f.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/c810b742967d__Reportage_Inventory__INDABYO HEIGHTS - KIGALI_ RWANDA__c810b74296.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/abd925a1c45a__Reportage_Inventory__3014__abd925a1c4.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/f3d04f29a0a6__Data_Uae_Pak_Last__Property_s Type__f3d04f29a0.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/4fa2fc5adce6__Reportage_Inventory__9e8cbfbd-4be2-43fa-8d80-c75925f2e7aa__4fa2fc5adc.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/b5bc12621c1e__Reportage_Inventory__Sylvana Availability__b5bc12621c.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/e684ba7d9461__Reportage_Inventory__Horya Townhouses__e684ba7d94.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/14b554a9a510__TIGER_-_HOME_SWEET_HOME_REAL_ESTATE__Unit Number__14b554a9a5.xlsx,property_intelligence,xlsx,unit
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/338f8b24464e__Reportage_Inventory__INDABYO HEIGHTS - KIGALI RWANDA__338f8b2446.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/60b354472fed__Data_Uae_Pak_Last__Property_s Type__60b354472f.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/39eae9c86450__Data_Uae_Pak_Last__Property_s Type__39eae9c864.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/131b03886208__Reportage_Inventory__BRABUS VILLA AVAILABILITY__131b038862.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/fcd5c43bb34f__Reportage_Inventory__DIVA HANDING OVER Q4 2024__fcd5c43bb3.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/0b8e327b3f01__Reportage_Inventory__REPORTAGE RESIDENCES Lahore Pakistan__0b8e327b3f.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/a076884ead68__Reportage_Inventory__Reportage Oceana__a076884ead.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/39097fe6b24c__Reportage_Inventory__3014__39097fe6b2.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/ac64a7581ea4__Reportage_Inventory__Unit No.__ac64a7581e.xlsx,property_intelligence,xlsx,"unit, inventory"
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/fa7b25efa0aa__Reportage_Inventory__ARABIAN RANCHES SEA BREEZE PROJECT__fa7b25efa0.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/e3b118dc756d__Reportage_Inventory__73fd58f1-9853-4763-b3d6-5b415324a9b9__e3b118dc75.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/ccd14455611d__Reportage_Inventory__3014__ccd1445561.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/12d44572adc0__Reportage_Inventory__DIVA _HANDING OVER Q4 2024___12d44572ad.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/7f03fbbd4c7d__Reportage_Inventory__DUBAI HILLS AVAILABILITY__7f03fbbd4c.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/253edbf7f5d0__Reportage_Inventory__REPORTAGE RESIDENCES _Lahore_ Pakistan___253edbf7f5.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/69038f24c0e9__Reportage_Inventory__3014__69038f24c0.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/91d41643da15__Reportage_Inventory__Verdana 1 Residence PROJECT__91d41643da.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/cca6fbee5df3__Reportage_Inventory__BRABUS VILLA AVAILABILITY__cca6fbee5d.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/0de581f49d76__Reportage_Inventory__fbc24b08-397d-4ecf-afcb-f6d96a583a21__0de581f49d.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/d55201497aaf__Data_Uae_Pak_Last__Property_s Type__d55201497a.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/274dd0842be4__Reportage_Inventory__Monte Napoleone MNGT Units__274dd0842b.xlsx,property_intelligence,xlsx,"unit, inventory"
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/cdd11f415b18__Reportage_Inventory__Sylvana Availability__cdd11f415b.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/f40c97c1dcbe__Reportage_Inventory__Monte Napoleone MNGT Units__f40c97c1dc.xlsx,property_intelligence,xlsx,"unit, inventory"
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/428f07ab6ac7__Reportage_Inventory__Verdana 1 Residence PROJECT__428f07ab6a.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/0b631333809e__Data_Uae_Pak_Last__Property_s Type__0b63133380.xlsx,property_intelligence,xlsx,property
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/7bb093345176__Reportage_Inventory__ffd5c26e-49da-4c91-b603-c0b42a2332e4__7bb0933451.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/14752b3dd35c__Reportage_Inventory__REPORTAGE RESIDENCES _Lahore_ Pakistan___14752b3dd3.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/c8a5536e02b9__Reportage_Inventory__bffd36ca-3cf8-4eba-82c3-ff850628f3c4__c8a5536e02.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/da8db8e57da8__Reportage_Inventory__DUBAI HILLS AVAILABILITY__da8db8e57d.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/a6192d9053af__Reportage_Inventory__MANAGEMENT UNITS__a6192d9053.xlsx,property_intelligence,xlsx,"unit, inventory"
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/d46f8387c98c__Reportage_Inventory__Monte Napoleone MNGT Units__d46f8387c9.xlsx,property_intelligence,xlsx,"unit, inventory"
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/2e842da7d0a8__Reportage_Inventory__Reportage Oceana__2e842da7d0.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/ac20f4467c2a__Reportage_Inventory__Reportage Oceana__ac20f4467c.xlsx,property_intelligence,xlsx,inventory
Property Intelligence,AIOS/KnowledgeBase/raw_data/xlsx/90b740e6691c__Reportage_Inventory__DUBAI HILLS AVAILABILITY__90b740e669.xlsx,property_intelligence,xlsx,inventory
